"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Amount","amount","number","","external_revenue_entries_information","false","","false","false","false","false","false","false","Lucas Graham","Rollup property (1)","0%","",""
"Associated Month","associated_month","enumeration","The month associated with the payment.","external_revenue_entries_information","true","January; February; March; April; May; June; July; August; September; October; November; December","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Associated Year","associated_year","number","The year associated with the payment.","external_revenue_entries_information","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Date Deposited","date_deposited","date","The date the external revenue was deposited into an Alpha account.","external_revenue_entries_information","true","","false","false","false","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Description","description","string","","external_revenue_entries_information","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","external_revenue_entries_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the record based on their permissions. This can be set manually or through Workflows or APIs.","external_revenue_entries_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the record based on their permissions. This can be set manually or through Workflows and APIs.","external_revenue_entries_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","external_revenue_entries_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","external_revenue_entries_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Merchant ID","merchant_id","number","The associated merchant ID with the payment.","external_revenue_entries_information","true","","false","false","false","false","false","false","Lucas Graham","Flow action (1); Dependent conditional field (1)","0%","",""
"Payment Type","payment_type","enumeration","The type of payment that is being recorded.","external_revenue_entries_information","true","Credit Card Residual","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1); Controlling conditional field (1)","0%","",""
"Time Since Deposit","time_since_deposit","date","The time since the payment was deposited into Alpha's account.","external_revenue_entries_information","false","","true","false","true","false","false","false","Lucas Graham","Rollup property (1)","0%","",""
