"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Billing City","hs_billing_address_city","string","The city for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Country","hs_billing_address_country","string","The country for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Phone Number","hs_billing_address_phone","string","The phone number for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing ZIP/Postal Code","hs_billing_address_postal_code","string","The ZIP/postal code for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing State","hs_billing_address_state","string","The state for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Street","hs_billing_address_street","string","The street for the billing address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Buyer accepts marketing","hs_buyer_accepts_marketing","bool","Whether the customer would like to receive updates (sms/email) from the shop.","cart_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Name","hs_cart_name","string","Name in an external system for the cart.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Cart Url","hs_cart_url","string","The recovery URL that's sent to a customer so they can recover their cart if it is abandoned.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the cart amount into your company currency.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Cart ID","hs_external_cart_id","string","Unique identifier in an external system for the cart.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Created Date","hs_external_created_date","datetime","The date/time the abandoned cart was created.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Modified Date","hs_external_modified_date","datetime","The date/time the cart details were last updated.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Status","hs_external_status","string","Current status of the cart as recorded on the source system.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Token","hs_external_token","string","A unique ID for cart in external system.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Landing Site","hs_landing_site","string","The URL of the first page on the sellers site that the customer landed on prior to them placing the order.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
