"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Alpha Billed","alpha_billed","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Charge Method","charge_method","enumeration","","accounting","true","Charge Automatically (charge_automatically); Invoice (invoice)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Cost","cost","number","Total Cost, including amount billed to the client by Shift4 Payments","accounting","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Currency","currency_","string","","accounting","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Early Termination Fee","early_termination_fee","number","This fee is determined by multiplying the ""Alpha Billed"" total by the number of remaining term months. Then discounting by 8%.","accounting","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Invoice Amount Billed","invoice_amount","number","Indicates the total invoice amount of the transaction","accounting","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Due Date","invoice_due_date","date","Date when the payment of the transaction is due","accounting","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Number","invoice_number","string","Unique invoice identifier","accounting","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Recipient","invoice_recipient","string","E-mail address where the invoice is sent","accounting","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Status","invoice_status","string","The invoice status of the most recent invoice created on the deal","accounting","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Margin (Shift4 Items)","margin__shift4_items_","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Monthly Recurring Profit","monthly_recurring_profit","number","The monthly recurring profit ","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (2)","0%","",""
"3rd Party Billed","n3rd_party_billed","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Net Price (Shift4 Items)","net_price__shift4_items_","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Onboarding/Services Total","onboarding_services_total","number","The total onboarding and services fees","accounting","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Shift4 Billed","shift4_billed","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (2)","0%","",""
"Stripe Charge Source","stripe_charge_source","enumeration","","accounting","true","Card (card); ACH","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Stripe Customer ID","stripe_customer_id","string","","accounting","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"TEST","test","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Today's Date","today_s_date","date","","accounting","true","","false","false","false","false","false","false","Lucas Graham","Calculated property (1)","30.18%","7/21/25 4:03 AM EDT","Workflow"
"Total Cost","total_cost","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Total Margin","total_margin","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Total Net Price","total_net_price","number","","accounting","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Latest Traffic Source","hs_analytics_latest_source","enumeration","Source for the contact either directly or indirectly associated with the last session activity for this deal","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:39 PM EST","HubSpot Calculation"
