"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Billable","billable","enumeration","If the engagement will be billed.","engagement_records_information","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","Controlling conditional field (1)","0%","",""
"Billing Disclosed to Client","billing_disclosed_to_client","enumeration","","engagement_records_information","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Description and Billing Amounts","description_and_billing_amounts","string","Add a description of the service provided and billing totals.","engagement_records_information","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Engagement Category","engagement_category","enumeration","Type of client or prospect engagement","engagement_records_information","true","Discovery; Demo; Field Service; Growth Consultation; Current Client Retention; Celebratory Activity","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Engagement Date and Time","engagement_date_and_time","datetime","The date the client engagement is taking place.","engagement_records_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Engagement Description","engagement_description","string","","engagement_records_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Engagement Summary","engagement_summary","string","","engagement_records_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","engagement_records_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Engagement Record pipeline","hs_pipeline","enumeration","The pipeline of this Engagement Record","engagement_records_information","true","","false","true","false","true","false","true","HubSpot","","0%","",""
"Engagement Record pipeline stage","hs_pipeline_stage","enumeration","The pipeline stage of this Engagement Record","engagement_records_information","true","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the record based on their permissions. This can be set manually or through Workflows or APIs.","engagement_records_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the record based on their permissions. This can be set manually or through Workflows and APIs.","engagement_records_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","engagement_records_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","engagement_records_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
