"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Asset Tag","asset_tag","string","","equipment_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","equipment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the record based on their permissions. This can be set manually or through Workflows or APIs.","equipment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the record based on their permissions. This can be set manually or through Workflows and APIs.","equipment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","equipment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","equipment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Located at","located_at","enumeration","Where the equipment is currently located.","equipment_information","true","IA-Eldridge; IL-Winfield; Deployed to Customer; Returned to Vendor","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Name","name","string","","equipment_information","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Part Condition","part_condition","enumeration","","equipment_information","true","New; Used - Excellent (Used); Used - Good; Used - Damaged; Refurbished; Pending Testing; Pending Repair; Broken/Parts","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Serial Number","serial_number","string","","equipment_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Warranty Active Until","warranty_active_until","date","","equipment_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Lease End Date","lease_end_date","date","The end date of the leased equipment","lease_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Lease ID","lease_id","number","The ID of an associated lease with the equipment","lease_information","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
