"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Product Use","associated_brand","enumeration","What the product will be used for.","department_category","true","Alpha Quoting (Alpha); Bravo! Quoting (Bravo!); Purchase Order","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Associated Platform(s)","associated_platform_s_","enumeration","The platform this product is used for.","lineiteminformation","true","Aloha Essentials; Aloha Purchase; Aloha Cloud; Focus; SpotOn RPOS (SpotOn); SpotOn Express; SkyTab; RPower; Winston; NX Restaurant; QSR Only; AirCharge; Other - Miscellaneous","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Create date","createdate","datetime","The date the line item was created","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Description","description","string","Full description of product","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Allow buyer selected quantity","hs_allow_buyer_selected_quantity","enumeration","Whether buyer selected quantity is to be enabled or not for a LineItem","lineiteminformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"External line item id","hs_external_id","number","The ID of a line item","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Image URL","hs_images","string","Product images.","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Currency","hs_line_item_currency_code","enumeration","Currency code for the line item.","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","lineiteminformation","false","Supplies Purchase; Equipment Purchase (inventory); Service (service); Non-Inventory (Software) (noninventory); Non-Inventory (Lease/Bundle) (noninventorybundle); Removal","false","true","false","false","false","true","HubSpot","Rollup property (2); Automation platform flow (2)","0%","",""
"SKU","hs_sku","string","Unique product identifier","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
