"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Billing City","hs_billing_address_city","string","The city for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Country","hs_billing_address_country","string","The country for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Email","hs_billing_address_email","string","Customer's email from billing information","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing First Name","hs_billing_address_firstname","string","Customer's first name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Last Name","hs_billing_address_lastname","string","Customer's last name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Address Customer Name","hs_billing_address_name","string","Customer's full name from billing information","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Phone Number","hs_billing_address_phone","string","The phone number for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing ZIP/Postal Code","hs_billing_address_postal_code","string","The ZIP/postal code for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing State","hs_billing_address_state","string","The state for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing Street","hs_billing_address_street","string","The street for the billing address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Buyer Accepts Marketing","hs_buyer_accepts_marketing","bool","Indicates if the customer has opted in/out of receiving marketing emails.","order_information","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Cancellation Reason","hs_cancellation_reason","string","The reason given for cancelling the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Closed Date","hs_closed_date","datetime","Date when the order was closed, null otherwise, set automatically","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","order_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Customer Phone","hs_customer_phone","phone_number","Phone number of Customer placing the Order","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the cart amount into your company currency.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Canceled Date","hs_external_canceled_date","datetime","Date the order is canceled.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Cart ID","hs_external_cart_id","string","Unique identifier in an external system for the cart associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Checkout ID","hs_external_checkout_id","string","Unique identifier in an external system for the checkout associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Created Date","hs_external_created_date","datetime","Date the order is created.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Modified Date","hs_external_modified_date","datetime","Most recent order modified date.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Order ID","hs_external_order_id","string","Unique identifier in an external system for the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Status","hs_external_order_status","string","Current status of the order as recorded on the source system. ","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Order URL","hs_external_order_url","string","An URL that links to an external site where the orders details can be viewed.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Fulfillment Status","hs_fulfillment_status","string","Current fulfillment/shipping status of the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Is Canceled","hs_is_canceled","bool","Field indicating if the order is canceled.","order_information","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","","0%","",""
"Is Order Closed","hs_is_closed","bool","Is order in a closed stage","order_information","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","","0%","",""
"Landing Site","hs_landing_site","string","The URL of the first page on the sellers site that the customer landed on prior to them placing the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","order_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
