"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Billing address city","hs_billing_address_city","string","The city the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing address country","hs_billing_address_country","string","The country the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing address line 1","hs_billing_address_line_1","string","The street address the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing address line 2","hs_billing_address_line_2","string","The apartment, unit number, or building the customer entered for billing. This is an optional field.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing address state","hs_billing_address_state","string","The state the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing address zip","hs_billing_address_zip","string","The zip code the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing name","hs_billing_bill_to_name","string","The name the customer entered for billing.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Charged from stored payment method","hs_charged_from_stored_payment_method","bool","Whether the payment method for this payment originated from a stored payment method on file","commerce_payment_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","commerce_payment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Currency code","hs_currency_code","enumeration","The currency code for the payment.","commerce_payment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Customer email","hs_customer_email","string","The email address of the customer who made the payment.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Digital wallet type","hs_digital_wallet_type","enumeration","The digital wallet type used to create the payment","commerce_payment_information","false","Apple Pay (apple_pay) [READ-ONLY]; Google Pay (google_pay) [READ-ONLY]; Amex Express Checkout (amex_express_checkout) [READ-ONLY]; Link (link) [READ-ONLY]; Masterpass (masterpass) [READ-ONLY]; Samsung Pay (samsung_pay) [READ-ONLY]; Visa Checkout (visa_checkout) [READ-ONLY]","true","true","false","false","false","true","HubSpot","","0%","",""
"Dispute amount","hs_dispute_amount","number","Amount being disputed.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Dispute closed date","hs_dispute_closed_date","datetime","Date when the dispute was lost/won.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Dispute create date","hs_dispute_create_date","datetime","Date that the dispute was opened.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Dispute deadline","hs_dispute_deadline","datetime","Date the dispute evidence is due minus 3 days.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
