"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Product Use","associated_brand","enumeration","What the product will be used for.","department_category","true","Alpha Quoting (Alpha); Bravo! Quoting (Bravo!); Purchase Order","false","false","false","false","false","false","Lucas Graham","","0%","",""
"External Sync Source","ip__sync_extension__external_source_account_id","enumeration","The ID of the external account that synced with this product.","ip__sync_extension__sync_extension","false","","true","true","false","true","false","false","Lucas Graham","","0%","",""
"Discount Instructions","discount_instructions","string","","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Pricing model","hs_pricing_model","enumeration","Defines the pricing model as either 'flat' or one of three tiered options","price","false","Flat (flat); Volume-based (volume); Stair-step (stairstep); Graduated (graduated)","false","true","false","false","false","true","HubSpot","","0%","",""
"Item Cost Explanation","item_cost_explanation","string","","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Lease Cost","lease_cost","number","The monthly cost of the hardware plus interest when utilized with one of Alpha's lease partners","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Max Manager Discount Allowed","max_manager_discount_allowed","number","","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Max Rep Discount Allowed","max_rep_discount_allowed","number","","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot","Rollup property (1)","0%","",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","price","false","Weekly (weekly); Every two weeks (biweekly); Monthly (monthly); Quarterly (quarterly); Semi-annually (per_six_months); Annually (annually); Every two years (per_two_years); Every three years (per_three_years); Every four years (per_four_years); Every five years (per_five_years)","false","true","false","false","false","true","HubSpot","","0%","",""
"Software Cost","software_cost","number","","price","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Associated Platform(s)","associated_platform_s_","enumeration","The platform this product is used for.","productinformation","true","Aloha Essentials; Aloha Purchase; Aloha Cloud; Focus; SpotOn RPOS (SpotOn); SpotOn Express; SkyTab; RPower; Winston; NX Restaurant; QSR Only; AirCharge; Other - Miscellaneous","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Create Date","createdate","datetime","The date the product was created","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
