"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Equipment Ordered","equipment_ordered","enumeration","The equipment has been ordered for the project.","administrative_tasks","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Equipment Received","equipment_received","enumeration","Equipment has been received at the corresponding Alpha Office","administrative_tasks","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Onboarding and One-time Fees Charged","onboarding_and_one_time_fees_charged","enumeration","The one-time fees have been charged for the project.","administrative_tasks","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Processing Application Submitted","processing_application_submitted","enumeration","The credit card processing application was submitted for the project.","administrative_tasks","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Subscription Created","subscription_created","enumeration","The subscription has been created or updated for the project.","administrative_tasks","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Customers and Loyalty Imported","customers_and_loyalty_imported","enumeration","","database_information","true","Yes; Not Applicable","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Floor Plan(s)","floor_plans_","enumeration","","database_information","true","Added; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Food Menu","food_menu","enumeration","","database_information","true","Added; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Gift Cards","gift_cards","enumeration","","database_information","true","Setup; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Gift Cards Imported","gift_cards_imported","enumeration","","database_information","true","Yes; Not Applicable","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Internally Approved by","internally_approved_by","enumeration","","database_information","false","","false","false","false","true","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Jobs and Job Permissions","jobs_and_job_permissions","enumeration","","database_information","true","Added; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Liquor Menu","liquor_menu","enumeration","","database_information","true","Added; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Loyalty","loyalty","enumeration","","database_information","true","Setup; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Modifiers","modifiers","enumeration","","database_information","true","Added; Not Relevant","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
