"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Referral City","referral_city","string","","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral Email","referral_email","string","The email of the person being referred.","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral First Name","referral_first_name","string","The first name of the person being referred.","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral Last Name","referral_last_name","string","The last name of the person being referred.","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral Phone #","referral_phone__","string","The phone # of the person being referred.","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral State","referral_state","string","","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral Street Address","referral_street_address","string","","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referral Title","referral_title","string","","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Referral Zip Code","referral_zip_code","string","","referral_contact_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Assigned Rep","assigned_rep","enumeration","The rep the referral is assigned to.","referrals_information","false","","false","false","false","true","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"External Referral Payment","external_referral_amount","number","The payment amount paid to the external referral partner.","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","referrals_information","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (2)","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","referrals_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","referrals_information","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1)","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","referrals_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","referrals_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","referrals_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the record based on their permissions. This can be set manually or through Workflows or APIs.","referrals_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the record based on their permissions. This can be set manually or through Workflows and APIs.","referrals_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","referrals_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","referrals_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Internal Referral Payment","internal_referral_payment","number","The payment given to a team member for the referral. ","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Involved Team Member","involved_team_member","string","Affiliated internal sales rep or team member from Alpha","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"POS Software","pos_software","enumeration","The POS software to be displayed to the referral.","referrals_information","true","Aloha Essentials; Aloha Cloud; Focus; SpotOn; SkyTab; RPower; Winston; NX Restaurant; QSR Only; AirCharge; Other - Miscellaneous","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","0%","",""
"Referral Description","referral_description","string","The description of the restaurant being referred to Alpha.","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer Zip Code","referrer_zip_code","string","","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Restaurant Name","restaurant_name","string","","referrals_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (3)","0%","",""
"Vendor Referral","vendor_referral","enumeration","The software vendor is also paying a referral for this deal.","referrals_information","true","Yes; No; Submitted","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Status","referral_status","enumeration","","referrer_information","true","Accepted; Denied; Closed; Paid","false","false","false","false","false","false","Lucas Graham","Automation platform flow (3)","0%","",""
"Referrer City","referrer_city","string","","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Referrer Company","referrer_company","string","","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer Email","referrer_email","string","The email of the person who submitted the referral.","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer First Name","referrer_first_name","string","The first name of the person who submitted the referral.","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer Last Name","referrer_last_name","string","The last name of the person who submitted the referral.","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer Phone #","referrer_phone__","string","The phone # of the person who submitted the referral.","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer Relationship","referrer_relationship","enumeration","The relationship of the person who submitted the referral.","referrer_information","true","Alpha Team Member; Client; Partner; Personal Relationship","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Referrer State","referrer_state","string","","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Referrer Street Address","referrer_street_address","string","","referrer_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
