"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Mapped Company","mapped_company","string","A company tied to this request that cannot be created using workflows.","mapping","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Flow action (1)","0%","",""
"Mapped Deal","mapped_deal","string","A deal associated with this record that cannot be associated with HubSpot Workflows.","mapping","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Flow action (1)","0%","",""
"Mapped Request","mapped_request","string","The request being associated with this request.","mapping","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Flow action (1)","0%","",""
"Attach a Voided Check","attach_a_voided_check","string","","processing_application_information","true","","false","false","false","true","false","false","Lucas Graham","Form (1)","0%","",""
"Average Ticket Amount","average_ticket_amount","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Bank Account Number","bank_account_number","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Bank Account Type","bank_account_type","enumeration","","processing_application_information","true","Personal Checking; Business Checking","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Bank Routing Number","bank_routing_number","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Different Legal Address","different_legal_address","enumeration","","processing_application_information","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Doing Business As (DBA) Name","doing_business_as__dba__name","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1); Automation platform flow (1)","0%","",""
"Had Previous Processor","had_previous_processor","enumeration","","processing_application_information","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Highest Dollar Amount Processed","highest_dollar_amount_processed","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Legal Business Name","legal_business_name","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Legal City","legal_city","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Legal State","legal_state","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Legal Street Address","legal_street_address","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Legal Zip","legal_zip","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Monthly Credit Card Amount","monthly_credit_card_amount","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
" % of Cards Inserted, Swiped or Tapped","of_cards_inserted__swiped_or_tapped","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
" % of Cards Keyed or Manually Entered","of_cards_keyed_or_manually_entered","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - City","owner__1___city","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Email","owner__1___email","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - First Name","owner__1___first_name","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Last Name","owner__1___last_name","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Ownership %","owner__1___ownership__","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Phone Number","owner__1___phone_number","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Social Security Number","owner__1___social_security_number","number","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - State","owner__1___state","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
"Owner #1 - Street Address","owner__1___street_address","string","","processing_application_information","true","","false","false","false","false","false","false","Lucas Graham","Form (1)","0%","",""
