"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Data Entry Specialist","data_entry_specialist","enumeration","","project_assignee_information_","false","","false","false","false","true","false","false","Lucas Graham","","0%","",""
"Onboarding Specialist","onboarding_specialist","enumeration","The team member leading communication, system review, training, installation and go-live with new clients.","project_assignee_information_","false","","false","false","false","true","false","false","Lucas Graham","","0%","",""
"First Time Log Date","first_time_log_date","datetime","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Last Time Log Date","last_time_log_date","datetime","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Number of Time Logs","num_time_logs","number","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Attachments (Comma-Separated)","time_log_attachments","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Authors (Comma-Separated)","time_log_authors","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Billable Values (Comma-Separated)","time_log_billable_values","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Descriptions (Comma-Separated)","time_log_descriptions","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log End Times (Comma-Separated)","time_log_end_times","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Engagements (Comma-Separated)","time_log_engagements","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Event IDs (Comma-Separated)","time_log_event_ids","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Hours (Comma-Separated)","time_log_hours","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Minutes (Comma-Separated)","time_log_minutes","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Numbers (Comma-Separated)","time_log_numbers","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Seconds (Comma-Separated)","time_log_seconds","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Time Log Start Times (Comma-Separated)","time_log_start_times","string","","simple_time_tracker","false","","false","false","false","false","false","false","Lucas Graham","","0%","",""
