"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Enrolled last 7-days","hs_7_day_enrollment","number","The total during the past 7 days, based on your portal's time zone.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Action type","hs_action_type_group","enumeration","","automationplatformflow","false","","true","true","false","true","false","true","HubSpot","","91.38%","",""
"All team IDs","hs_all_team_ids","enumeration","The team IDs of all default and custom owner properties for this record.","automationplatformflow","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Campaigns","hs_campaign_guids","string","Campaigns that list this workflow as an asset.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Contact object's trigger","hs_classic_workflow_type","enumeration","Only applicable to older workflows with the ""Contact"" object type.","automationplatformflow","false","Contact date property (PROPERTY_ANCHOR); Fixed date (STATIC_ANCHOR); Standard (STANDARD)","true","true","false","false","false","true","HubSpot","","100%","",""
"Metrics Status","hs_conversion_reporting_enabled","bool","Flag indicating flow is enabled for conversion reporting","automationplatformflow","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","96.55%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Current Issue Count","hs_current_active_issue_count","number","Number of active issues on a given Automation Platform Flow","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Current issues","hs_current_active_risk_count","number","Issues that haven't been reviewed yet.","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Currently Enrolled","hs_currently_enrolled","number","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Deleted on","hs_deleted_at","datetime","","automationplatformflow","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Deleted By","hs_deleted_by","number","User that deleted the workflow","automationplatformflow","false","","true","true","false","true","false","true","HubSpot","","0%","",""
